date,county,state,fips,cases,deaths
01-21-2020,Snohomish,Washington,53061,1,0
01-22-2020,Snohomish,Washington,53061,1,0
01-23-2020,Snohomish,Washington,53061,1,0
01-24-2020,Cook,Illinois,17031,1,0
01-24-2020,Snohomish,Washington,53061,1,0
01-25-2020,Orange,California,6059,1,0
01-25-2020,Cook,Illinois,17031,1,0
01-25-2020,Snohomish,Washington,53061,1,0
01-26-2020,Maricopa,Arizona,4013,1,0
01-26-2020,Los Angeles,California,6037,1,0
01-26-2020,Orange,California,6059,1,0
01-26-2020,Cook,Illinois,17031,1,0
01-26-2020,Snohomish,Washington,53061,1,0
01-27-2020,Maricopa,Arizona,4013,1,0
01-27-2020,Los Angeles,California,6037,1,0
01-27-2020,Orange,California,6059,1,0
01-27-2020,Cook,Illinois,17031,1,0
01-27-2020,Snohomish,Washington,53061,1,0
01-28-2020,Maricopa,Arizona,4013,1,0
01-28-2020,Los Angeles,California,6037,1,0
01-28-2020,Orange,California,6059,1,0
01-28-2020,Cook,Illinois,17031,1,0
01-28-2020,Snohomish,Washington,53061,1,0
01-29-2020,Maricopa,Arizona,4013,1,0
01-29-2020,Los Angeles,California,6037,1,0
01-29-2020,Orange,California,6059,1,0
01-29-2020,Cook,Illinois,17031,1,0
01-29-2020,Snohomish,Washington,53061,1,0
01-30-2020,Maricopa,Arizona,4013,1,0
01-30-2020,Los Angeles,California,6037,1,0
01-30-2020,Orange,California,6059,1,0
01-30-2020,Cook,Illinois,17031,2,0
01-30-2020,Snohomish,Washington,53061,1,0
01-31-2020,Maricopa,Arizona,4013,1,0
01-31-2020,Los Angeles,California,6037,1,0
01-31-2020,Orange,California,6059,1,0
01-31-2020,Santa Clara,California,6085,1,0
01-31-2020,Cook,Illinois,17031,2,0
01-31-2020,Snohomish,Washington,53061,1,0
02-01-2020,Maricopa,Arizona,4013,1,0
02-01-2020,Los Angeles,California,6037,1,0
02-01-2020,Orange,California,6059,1,0
02-01-2020,Santa Clara,California,6085,1,0
02-01-2020,Cook,Illinois,17031,2,0
02-01-2020,Suffolk,Massachusetts,25025,1,0
02-01-2020,Snohomish,Washington,53061,1,0
02-02-2020,Maricopa,Arizona,4013,1,0
02-02-2020,Los Angeles,California,6037,1,0
02-02-2020,Orange,California,6059,1,0
02-02-2020,San Francisco,California,6075,2,0
02-02-2020,Santa Clara,California,6085,2,0
02-02-2020,Cook,Illinois,17031,2,0
02-02-2020,Suffolk,Massachusetts,25025,1,0
02-02-2020,Snohomish,Washington,53061,1,0
02-03-2020,Maricopa,Arizona,4013,1,0
02-03-2020,Los Angeles,California,6037,1,0
02-03-2020,Orange,California,6059,1,0
02-03-2020,San Francisco,California,6075,2,0
02-03-2020,Santa Clara,California,6085,2,0
02-03-2020,Cook,Illinois,17031,2,0
02-03-2020,Suffolk,Massachusetts,25025,1,0
02-03-2020,Snohomish,Washington,53061,1,0
02-04-2020,Maricopa,Arizona,4013,1,0
02-04-2020,Los Angeles,California,6037,1,0
02-04-2020,Orange,California,6059,1,0
02-04-2020,San Francisco,California,6075,2,0
02-04-2020,Santa Clara,California,6085,2,0
02-04-2020,Cook,Illinois,17031,2,0
02-04-2020,Suffolk,Massachusetts,25025,1,0
02-04-2020,Snohomish,Washington,53061,1,0
02-05-2020,Maricopa,Arizona,4013,1,0
02-05-2020,Los Angeles,California,6037,1,0
02-05-2020,Orange,California,6059,1,0
02-05-2020,San Francisco,California,6075,2,0
02-05-2020,Santa Clara,California,6085,2,0
02-05-2020,Cook,Illinois,17031,2,0
02-05-2020,Suffolk,Massachusetts,25025,1,0
02-05-2020,Snohomish,Washington,53061,1,0
02-05-2020,Dane,Wisconsin,55025,1,0
02-06-2020,Maricopa,Arizona,4013,1,0
02-06-2020,Los Angeles,California,6037,1,0
02-06-2020,Orange,California,6059,1,0
02-06-2020,San Francisco,California,6075,2,0
02-06-2020,Santa Clara,California,6085,2,0
02-06-2020,Cook,Illinois,17031,2,0
02-06-2020,Suffolk,Massachusetts,25025,1,0
02-06-2020,Snohomish,Washington,53061,1,0
02-06-2020,Dane,Wisconsin,55025,1,0
02-07-2020,Maricopa,Arizona,4013,1,0
02-07-2020,Los Angeles,California,6037,1,0
02-07-2020,Orange,California,6059,1,0
02-07-2020,San Francisco,California,6075,2,0
02-07-2020,Santa Clara,California,6085,2,0
02-07-2020,Cook,Illinois,17031,2,0
02-07-2020,Suffolk,Massachusetts,25025,1,0
02-07-2020,Snohomish,Washington,53061,1,0
02-07-2020,Dane,Wisconsin,55025,1,0
02-08-2020,Maricopa,Arizona,4013,1,0
02-08-2020,Los Angeles,California,6037,1,0
02-08-2020,Orange,California,6059,1,0
02-08-2020,San Francisco,California,6075,2,0
02-08-2020,Santa Clara,California,6085,2,0
02-08-2020,Cook,Illinois,17031,2,0
02-08-2020,Suffolk,Massachusetts,25025,1,0
02-08-2020,Snohomish,Washington,53061,1,0
02-08-2020,Dane,Wisconsin,55025,1,0
02-09-2020,Maricopa,Arizona,4013,1,0
02-09-2020,Los Angeles,California,6037,1,0
02-09-2020,Orange,California,6059,1,0
