OBJECTID,COUNTY_NAME,COUNTY_ABBREV,COUNTY_NUM,COUNTY_CODE,COUNTY_FIPS,ISLAND,GlobalID,SHAPE_Length,SHAPE_Area
1,Alameda,ALA,1,01,001,,{E6F92268-D2DD-4CFB-8B79-5B4B2F07C559},308998.650975309,3402787058.98543
2,Alpine,ALP,2,02,003,,{870479B2-480A-494B-8352-AD60578839C1},274888.49266201,3146939367.21906
3,Amador,AMA,3,03,005,,{4F45B3A6-BE10-461C-8945-6B2AAA7119F6},361708.43864939,2562634785.25723
4,Butte,BUT,4,04,007,,{44FBA680-AECC-4E04-A499-29D69AFFBD4A},526547.113133818,7339347536.66435
5,Calaveras,CAL,5,05,009,,{D11EF739-4A1E-414E-BFD1-E7DCD56CD61E},370637.579038918,4351069341.78033
6,Colusa,COL,6,06,011,,{7BB40E7D-335A-4E8F-AABA-F003090D32EF},386191.550022144,4992906480.21929
7,Contra Costa,CON,7,07,013,,{36D6618E-1D85-423D-81C5-D5FADE320099},321717.2457739,3348831376.95922
8,Del Norte,DEL,8,08,015,,{1C9D9309-A72C-464F-9981-FE8358F354AC},391350.003689641,4723608395.31383
9,El Dorado,ELD,9,09,017,,{8C7709F7-3E81-4245-85D6-3FBC6EBD7261},472602.584878193,7635354515.45302
10,Fresno,FRE,10,10,019,,{F57A290A-F11E-4B3B-A53B-E8E4C2284BBB},1110071.01496446,24298410986.5121
11,Glenn,GLE,11,11,021,,{BAC1DCFD-A28A-4C21-936F-B8E299026A9F},396198.699450335,5795190689.54288
12,Humboldt,HUM,12,12,023,,{7E8E7246-D282-4143-A943-105360EE37E6},678269.543835831,16284538690.1792
13,Imperial,IMP,13,13,025,,{6B5A7EA7-CC2C-4E04-95AD-F953CF1B2E24},593476.826172109,16564231846.2379
14,Inyo,INY,14,14,027,,{24BDC0FF-4379-4055-A132-96A222AFA5F5},1069449.39428367,41096174750.6302
15,Kern,KER,15,15,029,,{55F8678B-D6C9-40C4-B9A0-C3E73D2714A5},862005.052143034,31846476133.417
16,Kings,KIN,16,16,031,,{414E145A-60F8-4996-B804-CB42B7878E02},354382.253353123,5529919182.66028
17,Lake,LAK,17,17,033,,{3490FE5A-A9E4-4997-B746-25ABEE1B9E23},469746.867947002,5725314906.55742
18,Lassen,LAS,18,18,035,,{0CB818C3-7995-42E7-9E8D-7563B81B9049},777067.437052652,21279656634.1462
19,Los Angeles,LOS,19,19,037,,{3B1E1D69-2B1A-464D-BA43-611C4201B219},629726.475212494,15054690022.5519
20,Madera,MAD,20,20,039,,{EF66DAF7-56C7-4AFD-8C10-3C6B8DE83C53},603305.220864443,8807559946.64522
