OBJECTID_1,OBJECTID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,GEOID_Data,Pop,Minority,Poverty,HH,Pct_Pov,Pct_MinPop,ComConcern,ACRES,YEAR,Shapearea,Shapelen
81,,06,01150,02407724,0601150,Alondra Park,Alondra Park CDP,16000US0601150,7441,5846,484,2422,0.19983485,0.78564709,Top 33$ of Poverty and Minority,731.08063465,2017,2958578.36162056,8089.19849095888
82,,06,19024,02408665,0619024,Desert Shores,Desert Shores CDP,16000US0619024,982,895,130,330,0.39393939,0.9114053,Top 33$ of Poverty and Minority,519.51083618,2017,2102385.76390343,6028.03108170453
83,,06,20802,02408711,0620802,East Los Angeles,East Los Angeles CDP,16000US0620802,123905,121631,7383,31938,0.23116664,0.98164723,Top 33$ of Poverty and Minority,4766.67882557,2017,19290064.8187677,26741.2108215506
84,,06,21034,02408704,0621034,East Rancho Dominguez,East Rancho Dominguez CDP,16000US0621034,16027,15839,709,3429,0.20676582,0.98826979,Top 33$ of Poverty and Minority,525.82971381,2017,2127957.35443796,15194.7981510449
85,,06,22370,02408061,0622370,El Rio,El Rio CDP,16000US0622370,7229,6314,297,1664,0.17848558,0.87342648,Top 33$ of Poverty and Minority,1295.50380224,2017,5242717.88232178,12155.9733884409
86,,06,24477,02408218,0624477,Florence-Graham,Florence-Graham CDP,16000US0624477,63821,63481,4456,14758,0.30193793,0.9946726,Top 33$ of Poverty and Minority,2244.92109916,2017,9084873.36790946,16692.411664078
87,,06,29112,02629132,0629112,Garnet,Garnet CDP,16000US0629112,5831,4586,534,1808,0.29535398,0.78648602,Top 33$ of Poverty and Minority,5042.11449385,2017,20404713.4219056,22437.2570772126
88,,06,30410,02583026,0630410,Good Hope,Good Hope CDP,16000US0630410,9369,8397,579,1980,0.29242424,0.8962536,Top 33$ of Poverty and Minority,7183.85123267,2017,29072014.4984829,29036.2106483829
89,,06,33084,02408367,0633084,Heber,Heber CDP,16000US0633084,4273,4273,192,1018,0.18860511,1,Top 33$ of Poverty and Minority,948.85175476,2017,3839866.81765614,9580.5753509389
90,,06,34302,02408398,0634302,Home Gardens,Home Gardens CDP,16000US0634302,11997,10394,549,3121,0.17590516,0.86638326,Top 33$ of Poverty and Minority,966.71103104,2017,3912140.74455275,11744.8870618262
91,,06,41180,02408600,0641180,Lennox,Lennox CDP,16000US0641180,21537,21196,1321,5311,0.24872905,0.98416678,Top 33$ of Poverty and Minority,699.5712931,2017,2831064.58039756,10117.9100622176
92,,06,41880,02408620,0641880,Littlerock,Littlerock CDP,16000US0641880,1998,1773,106,460,0.23043478,0.88738739,Top 33$ of Poverty and Minority,1180.57811985,2017,4777630.14644833,11709.4819384097
93,,06,46646,02583077,0646646,Mead Valley,Mead Valley CDP,16000US0646646,20402,17193,1215,4366,0.27828676,0.8427115,Top 33$ of Poverty and Minority,12204.15745917,2017,49388472.9936221,33774.6442459143
94,,06,46660,02408811,0646660,Mecca,Mecca CDP,16000US0646660,7893,7884,921,1934,0.4762151,0.99885975,Top 33$ of Poverty and Minority,4450.93656525,2017,18012301.2247922,19005.0722424711
95,,06,47066,02583079,0647066,Mesa Verde,Mesa Verde CDP,16000US0647066,644,504,55,207,0.26570048,0.7826087,Top 33$ of Poverty and Minority,2753.52928463,2017,11143137.6697647,17869.6573900319
96,,06,47430,02583081,0647430,Midway,Midway City CDP,16000US0647430,8819,7706,645,2539,0.25403702,0.87379521,Top 33$ of Poverty and Minority,387.78091663,2017,1569293.69295795,10786.1136800984
97,,06,50132,02408894,0650132,Muscoy,Muscoy CDP,16000US0650132,12968,11857,897,2607,0.34407365,0.91432758,Top 33$ of Poverty and Minority,2022.03984411,2017,8182904.92948833,15820.7373246709
98,,06,52302,02583097,0652302,North Shore,North Shore CDP,16000US0652302,3349,3097,274,826,0.33171913,0.92475366,Top 33$ of Poverty and Minority,7153.8235385,2017,28950496.731488,31105.9688579677
99,,06,53224,02630708,0653224,Oasis,Oasis CDP,16000US0653224,3240,3170,416,983,0.4231943,0.97839506,Top 33$ of Poverty and Minority,12555.71365993,2017,50811170.4624897,42306.5048750615
100,,06,61012,02583122,0661012,Ripley,Ripley CDP,16000US0661012,493,465,79,193,0.40932642,0.94320487,Top 33$ of Poverty and Minority,1088.86821272,2017,4406493.31980104,10281.3697370683
101,,06,70798,02409303,0670798,Seeley,Seeley CDP,16000US0670798,1573,1418,199,425,0.46823529,0.90146217,Top 33$ of Poverty and Minority,866.57701034,2017,3506912.73979983,8921.24254574841
102,,06,78456,02583161,0678456,Thermal,Thermal CDP,16000US0678456,2166,2162,286,705,0.40567376,0.99815328,Top 33$ of Poverty and Minority,6001.62153662,2017,24287700.6602909,27044.6012033035
103,,06,83085,02583177,0683085,Vista Santa Rosa,Vista Santa Rosa CDP,16000US0683085,3318,3032,147,824,0.17839806,0.9138035,Top 33$ of Poverty and Minority,10288.00900856,2017,41634095.3299826,39116.6919469916
104,,06,83402,02409528,0683402,Walnut Park,Walnut Park CDP,16000US0683402,15915,15699,687,3744,0.18349359,0.9864279,Top 33$ of Poverty and Minority,478.32906798,2017,1935729.06077107,7285.11121069456
105,,06,84116,02409544,0684116,West Athens,West Athens CDP,16000US0684116,8746,8660,571,2795,0.20429338,0.99016693,Top 33$ of Poverty and Minority,854.94880903,2017,3459855.0786545,8023.96540345073
106,,06,84592,02409575,0684592,Westmont,Westmont CDP,16000US0684592,33532,32951,3442,10398,0.3310252,0.98267327,Top 33$ of Poverty and Minority,1181.96313899,2017,4783235.12006186,12829.3257977864
107,,06,84780,02409548,0684780,West Rancho Dominguez,West Rancho Dominguez CDP,16000US0684780,23537,23239,1258,6295,0.19984114,0.98733908,Top 33$ of Poverty and Minority,2545.26709451,2017,10300330.4881358,19766.7394324333
108,,06,85614,02409601,0685614,Willowbrook,Willowbrook CDP,16000US0685614,22654,22413,1368,5010,0.27305389,0.9893617,Top 33$ of Poverty and Minority,991.17374818,2017,4011137.84852645,10724.2682899365
109,,06,00296,02409663,0600296,Adelanto,Adelanto city,16000US0600296,32867,28365,2641,7898,0.33438845,0.8630237,Top 33$ of Poverty and Minority,33842.27655395,2017,136954834.220997,100829.191451636
110,,06,04870,02409816,0604870,Bell,Bell city,16000US0604870,35942,34283,2158,8921,0.24190113,0.9538423,Top 33$ of Poverty and Minority,1674.87268043,2017,6777969.26351313,20058.9307103292
111,,06,04996,02409817,0604996,Bell Gardens,Bell Gardens city,16000US0604996,42845,41500,2731,9659,0.28274148,0.96860777,Top 33$ of Poverty and Minority,1575.50955971,2017,6375860.98025335,11853.7229857383
112,,06,08058,02409893,0608058,Brawley,Brawley city,16000US0608058,25959,22260,1800,7056,0.25510204,0.85750607,Top 33$ of Poverty and Minority,5193.48746936,2017,21017298.1200491,30226.9478509333
113,,06,09710,02409958,0609710,Calexico,Calexico city,16000US0609710,39953,39302,2646,9180,0.28823529,0.98370585,Top 33$ of Poverty and Minority,5522.675495,2017,22349474.7957835,24706.3461819667
114,,06,09878,02409962,0609878,Calipatria,Calipatria city,16000US0609878,7426,7018,285,947,0.30095037,0.9450579,Top 33$ of Poverty and Minority,2366.3174425,2017,9576146.93962286,21699.3021531923
115,,06,14260,02409493,0614260,Coachella,Coachella city,16000US0614260,44382,43563,3564,12943,0.2753612,0.98154657,Top 33$ of Poverty and Minority,19236.05775758,2017,77845563.8779197,60592.487959251
116,,06,14890,02410200,0614890,Colton,Colton city,16000US0614890,54200,44891,2874,16393,0.17531873,0.82824723,Top 33$ of Poverty and Minority,10265.01544268,2017,41541043.6702529,70311.1531884407
117,,06,14974,02410209,0614974,Commerce,Commerce city,16000US0614974,12998,12835,642,3589,0.17887991,0.98745961,Top 33$ of Poverty and Minority,4182.86036652,2017,16927435.3382503,28544.7425784254
118,,06,15044,02410213,0615044,Compton,Compton city,16000US0615044,97847,96722,5247,23657,0.22179482,0.98850246,Top 33$ of Poverty and Minority,6471.41781867,2017,26188898.7615114,54300.7476190666
119,,06,17498,02410272,0617498,Cudahy,Cudahy city,16000US0617498,24146,23470,1661,5543,0.29965723,0.97200364,Top 33$ of Poverty and Minority,784.71193603,2017,3175616.5380497,10371.2047160626
120,,06,21782,02410409,0621782,El Centro,El Centro city,16000US0621782,43932,39735,2899,11881,0.24400303,0.90446599,Top 33$ of Poverty and Minority,7374.52536506,2017,29843645.3357415,39579.1694741524
121,,06,22230,02410413,0622230,El Monte,El Monte city,16000US0622230,115958,111303,6202,29550,0.20988156,0.95985615,Top 33$ of Poverty and Minority,6171.11445873,2017,24973614.1806862,32501.0594653029
122,,06,32506,02410716,0632506,Hawaiian Gardens,Hawaiian Gardens city,16000US0632506,14465,13519,1025,3875,0.26451613,0.93460076,Top 33$ of Poverty and Minority,613.94100849,2017,2484531.11317722,7809.49880262415
123,,06,34246,02410780,0634246,Holtville,Holtville city,16000US0634246,6355,5322,535,1627,0.32882606,0.83745083,Top 33$ of Poverty and Minority,741.70477376,2017,3001572.72723106,12653.4314456129
124,,06,36056,02410079,0636056,Huntington Park,Huntington Park city,16000US0636056,58993,58078,3959,14462,0.2737519,0.98448969,Top 33$ of Poverty and Minority,1929.15319659,2017,7807006.00341028,20316.0060211874
125,,06,36546,02410106,0636546,Inglewood,Inglewood city,16000US0636546,111006,106879,6753,36481,0.18511006,0.96282183,Top 33$ of Poverty and Minority,5816.75515397,2017,23539572.9523567,27714.3742933108
126,,06,40340,02411581,0640340,La Puente,La Puente city,16000US0640340,40451,39073,1663,8998,0.18481885,0.96593409,Top 33$ of Poverty and Minority,2225.51096014,2017,9006323.32216745,26455.9493547558
127,,06,44574,02410901,0644574,Lynwood,Lynwood city,16000US0644574,71350,69765,3393,15333,0.22128742,0.97778556,Top 33$ of Poverty and Minority,3096.08931677,2017,12529428.9359039,22030.8505832958
128,,06,46492,02411054,0646492,Maywood,Maywood city,16000US0646492,27700,27290,1756,6629,0.26489667,0.98519856,Top 33$ of Poverty and Minority,753.81083949,2017,3050564.23706312,9180.76847127759
129,,06,48914,02411146,0648914,Monterey Park,Monterey Park city,16000US0648914,61056,58661,3421,19728,0.17340835,0.96077372,Top 33$ of Poverty and Minority,4946.55517462,2017,20017998.5771483,24309.2783981168
130,,06,55618,02411369,0655618,Paramount,Paramount city,16000US0655618,55020,52321,2796,14339,0.19499268,0.95094511,Top 33$ of Poverty and Minority,3095.81380564,2017,12528313.9819018,20805.6367468745
131,,06,56700,02411403,0656700,Perris,Perris city,16000US0656700,75011,67293,3169,16582,0.19111084,0.89710842,Top 33$ of Poverty and Minority,20253.26061856,2017,81962037.8087577,71146.5860413415
132,,06,58072,02411454,0658072,Pomona,Pomona city,16000US0658072,152366,134475,7368,38869,0.1895598,0.88257879,Top 33$ of Poverty and Minority,14692.06491285,2017,59456677.2508937,49382.0761559566
133,,06,62896,02410998,0662896,Rosemead,Rosemead city,16000US0662896,54615,52534,2572,14671,0.17531184,0.96189691,Top 33$ of Poverty and Minority,3310.67355807,2017,13397820.5509328,28561.5562162783
134,,06,65000,02411777,0665000,San Bernardino,San Bernardino city,16000US0665000,215252,182375,15764,58046,0.27157771,0.84726274,Top 33$ of Poverty and Minority,39935.63340186,2017,161613774.514918,217566.209909544
135,,06,66140,02411785,0666140,San Fernando,San Fernando city,16000US0666140,24581,23508,1077,6249,0.17234758,0.9563484,Top 33$ of Poverty and Minority,1518.81582347,2017,6146429.56965321,11160.1754624757
136,,06,69000,02411814,0669000,Santa Ana,Santa Ana city,16000US0669000,334493,302994,13408,75980,0.17646749,0.90583062,Top 33$ of Poverty and Minority,17519.63127301,2017,70899432.3352723,49939.9592991494
137,,06,72996,02411934,0672996,South El Monte,South El Monte city,16000US0672996,20712,19966,945,5304,0.17816742,0.96398223,Top 33$ of Poverty and Minority,1822.12452886,2017,7373876.35204981,18959.8158673012
