id,latitude,longitude,outage,estCustAffected,lastUpdateTime,hazardFlag,region,cause,crewCurrentStatus,outage_url,currentEtor,autoEtor
1571772021:676894,39.20575,-123.71582,676894,1,1571770342,0,Albion,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676894,1571784300,1571784300
1571772021:676647,39.48782,-120.85717,676647,83,1571763944,0,Alleghany,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676647,1571774400,1571774400
1571772021:676429,35.19195,-120.45652,676429,37,1571770979,0,Arroyo Grande,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676429,1571785200,
1571772021:676681,38.01369,-121.61918,676681,12,1571759979,0,Bethel Island,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676681,1571785200,
1571772021:676613,37.09485,-122.14436,676613,3,1571762106,0,Bonny Doon,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676613,1571788800,
1571772021:676791,37.22229,-122.14464,676791,21,1571762780,0,Boulder Creek,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676791,1571774400,
1571772021:676700,35.90432,-120.97977,676700,2,1571761805,0,Bradley,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676700,1571785200,
1571772021:676626,37.1033,-122.08582,676626,36,1571761649,0,Brookdale,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676626,1571790600,
1571772021:676618,37.7886,-121.61863,676618,7,1571753948,0,Byron,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676618,1571788800,
1571772021:676898,35.55013,-121.08582,676898,9,1571770517,0,Cambria,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676898,1571782500,1571782500
1571772021:676904,36.97319,-121.95858,676904,1,1571771401,0,Capitola,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676904,1571783400,1571783400
1571772021:675022,40.07645,-121.16152,675022,1,1571706127,0,Caribou,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/675022,1571788800,
1571772021:676855,36.56632,-121.91895,676855,1,1571766785,1,Carmel,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676855,1571777100,1571777100
1571772021:676874,37.70103,-122.07854,676874,1,1571769540,1,Castro Valley,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676874,1571779800,1571779800
1571772021:676752,37.70534,-122.09958,676752,1,1571761757,0,Castro Valley,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676752,1571785200,
1571772021:676878,37.68144,-122.10073,676878,1,1571770862,1,Cherryland,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676878,1571780700,1571780700
1571772021:676797,38.97416,-122.61703,676797,2,1571768105,0,Clearlake,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676797,1571781600,
