"","ï..X","Y","OBJECTID","ReferenceNumber","CategoryHierarchy","CategoryLevel1","CategoryLevel2","CategoryLevel3","CategoryLevel4","CategoryLevel5","CategoryName","CouncilDistrictNumber","SourceLevel1","Neighborhood","DateCreated","DateUpdated","DateClosed","StatusType","SystemId","ServiceLevelName","Latitude","Longitude","XCoord","YCoord","CrossStreet","GlobalID","ZIP"
"1",-121.492603145006,38.6200800901019,6136,"160511-000389","Solid Waste : Missed Service : Garbage","Solid Waste","Missed Service","",NA,NA,"Garbage",3,"Phone Call","South Natomas","2016-05-11T17:29:52.000Z","2017-05-21T06:33:57.000Z","2017-05-21T06:33:57.000Z","Completed",13089,"36 Hours-No Holidays-M/F-24h",38.6200750067392,-121.492589969538,6706635.6809454,1988044.73973098,"WOODSIDE GLEN WAY","48b52db6-686d-4157-ac63-874c4cd24c93","95833"
"2",-121.543320693008,38.4902639800722,6137,"160511-000397","Solid Waste : Kick truck : Lawn and Garden","Solid Waste","Kick truck","",NA,NA,"Lawn and Garden",7,"Phone Call","Pocket","2016-05-11T17:30:52.000Z","2017-01-27T18:40:33.000Z","2017-01-27T18:38:13.000Z","Closed",13091,"36 Hours-No Holidays-M/F-24h",38.4902589114023,-121.543307525661,6692383.185703,1940692.057013,"STANISLAUS CIR","8f7da809-3bd4-4614-91ff-114c49bb7380","95831"
"3",-121.411301434854,38.4471231610007,6138,"160511-000398","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",8,"Phone Call","Valley Hi / North Laguna","2016-05-11T17:31:25.000Z","2017-07-06T18:41:30.000Z","2017-07-06T18:39:44.000Z","Completed",13092,"",38.4471180859981,-121.41128829318,6730271.614837,1925198.70302,"TAMBOR WAY","a41f4f01-74cf-4fdf-8ed3-2a1d9cae9b31","95758"
"4",-121.513785457734,38.6362115374089,6139,"160511-000400","Solid Waste : Deliver Can : Garbage","Solid Waste","Deliver Can","",NA,NA,"Garbage",1,"Phone Call","Natomas Crossing","2016-05-11T17:32:50.000Z","2017-05-21T06:33:57.000Z","2017-05-21T06:33:57.000Z","Completed",13095,"",38.6362064543116,-121.513772276998,6700552.44079996,1993886.32885339,"BILSTED WAY","4baecab1-99c2-4d56-b365-34a90950e8f4","95834"
"5",-121.523794395715,38.5264410150225,6140,"160511-000401","Solid Waste : Exchange Can : Garbage","Solid Waste","Exchange Can","",NA,NA,"Garbage",4,"Phone Call","Little Pocket","2016-05-11T17:34:21.000Z","2017-01-27T18:40:31.000Z","2017-01-27T18:38:13.000Z","Closed",13098,"",38.5264359418505,-121.523781226952,6697902.99937,1953895.506362,"CAPSTAN WAY","f3846416-d32e-4ddc-bafc-d591ddce2b00","95822"
"6",-121.486325402195,38.5039790896857,6141,"160511-000409","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",5,"Web App","Golf Course Terrace","2016-05-11T17:35:21.000Z","2017-05-22T22:26:20.000Z","2017-05-22T22:26:17.000Z","Completed",13100,"",38.5039740155615,-121.486312241972,6708668.228469,1945773.837246,"MIDDLECOFF WAY","e161ef7f-a363-4477-bfcb-8407bcf06232","95822"
"7",-121.490876794825,38.6187452686447,6142,"160511-000407","Solid Waste : Kick truck : Garbage","Solid Waste","Kick truck","",NA,NA,"Garbage",3,"Phone Call","South Natomas","2016-05-11T17:36:07.000Z","2017-05-20T08:00:37.000Z","2017-05-20T08:00:37.000Z","Completed",13103,"36 Hours-No Holidays-M/F-24h",38.6187401852623,-121.490863619789,6707131.62401962,1987561.3901609,"FALL CREEK WAY","68251d4f-cbae-45ea-b6cd-a633c10eec98","95833"
"8",-121.483173509911,38.5372855760993,6143,"160511-000415","Solid Waste : Repair Can : Lawn and Garden : Lid","Solid Waste","Repair Can","Lawn and Garden",NA,NA,"Lid",5,"Web App","North City Farms","2016-05-11T17:38:41.000Z","2017-05-21T06:39:58.000Z","2017-05-21T06:39:58.000Z","Completed",13107,"",38.5372804989455,-121.483160346094,6709501.21149771,1957908.30343477,"DEEBLE ST","c32a6282-fa31-4864-a62d-9280a4ab953c","95820"
"9",-121.423455135093,38.4664570143263,6144,"160511-000412","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",8,"Phone Call","Valley Hi / North Laguna","2016-05-11T17:41:44.000Z","2017-07-06T18:41:32.000Z","2017-07-06T18:39:44.000Z","Completed",13110,"",38.4664519386121,-121.423441989178,6726746.216606,1932217.247882,"WESTBORO WAY","9e384b85-f08f-470a-8294-98fc92099781","95823"
"10",-121.455726809492,38.5755591395799,6145,"160511-000413","Building / Planning : Escalation Form : Planning and Zoning","Building / Planning","Escalation Form","",NA,NA,"Planning and Zoning",3,"Phone Call","East Sacramento","2016-05-11T17:42:52.000Z","2016-05-11T17:42:55.000Z","","In Progress",13112,"No SLA-All Holidays-M/F-24h",38.5755540571405,-121.455713645217,6717268.37419237,1971892.34719071,"MCKINLEY BLVD","28b32f62-0291-4180-b0d0-655ddb7589fd","95816"
"11",-121.421674491334,38.5314811587779,6146,"160511-000418","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",6,"Phone Call","Colonial Village","2016-05-11T17:43:49.000Z","2017-07-06T18:41:34.000Z","2017-07-06T18:39:44.000Z","Completed",13115,"",38.5314760774581,-121.421661337745,6727105.345162,1955900.487674,"WHITTIER DR","e8725140-2348-473e-a28b-a2854b67cde0","95820"
"12",-121.485313048007,38.619297435792,6147,"160511-000426","Solid Waste : Missed Service : Garbage","Solid Waste","Missed Service","",NA,NA,"Garbage",3,"Phone Call","South Natomas","2016-05-11T17:46:10.000Z","2017-05-19T22:12:34.000Z","2017-05-19T22:12:34.000Z","Completed",13119,"36 Hours-No Holidays-M/F-24h",38.6192923519405,-121.485299873763,6708720.08176098,1987771.42951465,"ERIN DR","86dba735-8327-4ebb-a413-44d80124865e","95833"
"13",-121.439121994647,38.6303034533307,6148,"160511-000420","Solid Waste : Illegal Dumping : Street / Sidewalk","Solid Waste","Illegal Dumping","",NA,NA,"Street / Sidewalk",2,"Phone Call","Hagginwood","2016-05-11T17:46:48.000Z","2017-07-06T18:41:36.000Z","2017-07-06T18:39:44.000Z","Completed",13120,"7 Days-No Holidays-M/F-24h",38.6302983650487,-121.439108826191,6721892.287558,1991857.624998,"ALVARADO BLVD","661eacae-591d-4fca-9b76-0673f1bf7c2f","95838"
"14",-121.445796524429,38.4680194676312,6149,"160511-000428","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",7,"Phone Call","Valley Hi / North Laguna","2016-05-11T17:47:33.000Z","2017-05-19T22:12:35.000Z","2017-05-19T22:12:35.000Z","Completed",13121,"",38.4680143934689,-121.445783374867,6720346.06277763,1932746.45529215,"NEWGATE DR","d868b358-fb31-4eee-9630-ec0f33b4e13f","95823"
"15",-121.488243281636,38.5051331229478,6150,"160511-000423","Solid Waste : Deliver Can : Garbage","Solid Waste","Deliver Can","",NA,NA,"Garbage",5,"Phone Call","Golf Course Terrace","2016-05-11T17:49:27.000Z","2017-01-27T18:40:29.000Z","2017-01-27T18:38:13.000Z","Closed",13124,"",38.5051280488711,-121.488230120976,6708117.029857,1946191.009693,"HOGAN DR","e42f3798-1bfb-4704-a545-c3d4af91f2b3","95822"
"16",-121.503663422531,38.6249837066899,6151,"160511-000431","Solid Waste : Appliance and eWaste","Solid Waste","","",NA,NA,"Appliance and eWaste",3,"Phone Call","South Natomas","2016-05-11T17:50:31.000Z","2017-05-19T22:13:28.000Z","2017-05-19T22:13:28.000Z","Completed",13126,"",38.6249786237589,-121.503650244748,6703465.99570329,1989813.06317295,"MAYKIRK WAY","a3ebd3ff-ed2f-4b37-8f23-615aab36c1ac","95833"
"17",-121.421674491334,38.5314811587783,6152,"160511-000436","Solid Waste : Appliance and eWaste","Solid Waste","","",NA,NA,"Appliance and eWaste",6,"Phone Call","Colonial Village","2016-05-11T17:52:14.000Z","2017-05-19T22:13:29.000Z","2017-05-19T22:13:29.000Z","Completed",13129,"",38.5314760774581,-121.421661337745,6727105.34516214,1955900.48767413,"WHITTIER DR","f262f0b2-c8ff-4cdc-9a61-e1a00c548db7","95820"
"18",-121.461469461484,38.621032508692,6153,"160511-000439","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",2,"Mobile App","Wills Acres","2016-05-11T17:52:50.000Z","2017-01-27T18:40:34.000Z","2017-01-27T18:38:13.000Z","Closed",13132,"",38.6210274228838,-121.461456290716,6715528.537231,1988442.773069,"EDGEWATER RD","2a3dfbbc-4612-4180-9875-55e3c367eaa3","95815"
"19",-121.423595173666,38.51154711182,6154,"160511-000438","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",6,"Phone Call","Southeast Village","2016-05-11T17:54:39.000Z","2017-01-27T18:40:32.000Z","2017-01-27T18:38:13.000Z","Closed",13135,"",38.5115420323205,-121.423582022223,6726601.969891,1948637.566589,"PANTANO DR","5b1ef02c-e840-4618-b5f3-6ea01b2a0761","95824"
"20",-121.539661397347,38.5127434058236,6155,"160511-000442","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",7,"Phone Call","Greenhaven","2016-05-11T17:54:47.000Z","2017-05-19T22:14:28.000Z","2017-05-19T22:14:28.000Z","Cancelled",13136,"",38.5127383349975,-121.539648227814,6693389.08744674,1948883.78864349,"RIVERCREST DR","3331c3f6-702c-45d6-9d42-f3e162afdb16","95831"
"21",-121.423048574297,38.5406860691656,6156,"160511-000443","Solid Waste : Deliver Can : Lawn and Garden","Solid Waste","Deliver Can","",NA,NA,"Lawn and Garden",6,"Phone Call","Tahoe Park East","2016-05-11T17:55:29.000Z","2017-05-20T08:21:39.000Z","2017-05-20T08:21:39.000Z","Completed",13138,"",38.540680987176,-121.423035419367,6726691.00026766,1959250.16390124,"MCQUILLAN CIR","0186feb7-49bc-4d4d-bd42-cc39615c1497","95820"
"22",-121.500622489007,38.5483213011136,6157,"160511-000445","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",4,"Phone Call","Land Park","2016-05-11T17:57:46.000Z","2017-07-06T18:41:38.000Z","2017-07-06T18:39:44.000Z","Completed",13140,"",38.5483162243556,-121.500609321139,6704488.14951,1961899.325596,"13TH ST","b8ffc9be-8efc-41b4-9909-2b8e23c16de1","95818"
"23",-121.479126028541,38.5375973068937,6158,"160511-000449","Solid Waste : Appliance and eWaste","Solid Waste","","",NA,NA,"Appliance and eWaste",5,"Web App","North City Farms","2016-05-11T17:58:01.000Z","2017-05-21T07:10:58.000Z","2017-05-21T07:10:58.000Z","Completed",13142,"",38.5375922294074,-121.479112865311,6710658.27180255,1958028.43746639,"WILMINGTON AVE","59adfd32-ba47-452a-bffd-396ccda0dc19","95820"
"24",-121.458434519888,38.5507366675218,6159,"160511-000446","Solid Waste : Missed Service : Recycle","Solid Waste","Missed Service","",NA,NA,"Recycle",5,"Phone Call","North Oak Park","2016-05-11T17:58:03.000Z","2017-05-20T08:24:40.000Z","2017-05-20T08:24:40.000Z","Completed",13143,"36 Hours-No Holidays-M/F-24h",38.5507315873678,-121.458421358245,6716548.16847145,1962848.03841196,"41ST ST","1be07958-35fd-4841-a75c-2e1c1920a2a3","95817"
"25",-121.423595173666,38.51154711182,6160,"160511-000448","Solid Waste : Appliance and eWaste","Solid Waste","","",NA,NA,"Appliance and eWaste",6,"Phone Call","Southeast Village","2016-05-11T17:58:48.000Z","2017-01-27T18:40:30.000Z","2017-01-27T18:38:13.000Z","Closed",13145,"",38.5115420323205,-121.423582022223,6726601.969891,1948637.566589,"PANTANO DR","6170c554-3ba4-4995-ba85-f512e574cbc1","95824"
"26",-121.494020108255,38.5817923038651,6161,"160511-000452","Parking : Escalation Form : Garage","Parking","Escalation Form","",NA,NA,"Garage",4,"Phone Call","Downtown","2016-05-11T18:00:59.000Z","2016-05-11T18:01:17.000Z","","In Progress",13148,"48 Hours-All Holidays-M/F",38.5817872238086,-121.49400693729,6706308.48729512,1974099.04716364,"9TH ST","257a5915-7a82-40b8-99ae-33244be39150","95814"
"27",-121.453056769018,38.6473166253576,6162,"160511-000458","Solid Waste : Appliance and eWaste","Solid Waste","","",NA,NA,"Appliance and eWaste",2,"Phone Call","Robla","2016-05-11T18:03:10.000Z","2017-05-19T22:16:31.000Z","2017-05-19T22:16:31.000Z","Completed",13151,"",38.6473115367119,-121.453043596301,6717874.40378863,1998029.11679718,"BOGLE CT","f587c03e-db39-4f4c-b340-347bc0e75b21","95838"
"28",-121.462432938373,38.5545883361383,6163,"160511-000456","Solid Waste : Deliver Can : Garbage","Solid Waste","Deliver Can","",NA,NA,"Garbage",5,"Phone Call","Med Center","2016-05-11T18:04:12.000Z","2017-05-20T08:31:39.000Z","2017-05-20T08:31:39.000Z","Completed",13153,"",38.5545832559642,-121.462419775639,6715396.41075684,1964243.92472905,"MILLER WAY SHERMAN WAY ALY","014b4a91-692a-413e-9562-cfbcbc28a50c","95817"
"29",-121.417244115683,38.5233394749272,6164,"160511-000453","Solid Waste : Notify Supervisor : Garbage","Solid Waste","Notify Supervisor","",NA,NA,"Garbage",6,"Phone Call","Avondale","2016-05-11T18:04:13.000Z","2017-01-27T18:40:28.000Z","2017-01-27T18:38:13.000Z","Closed",13154,"24 Hours-No Holidays-M/F-24h",38.5233343939555,-121.417230963779,6728391.687491,1952943.608156,"FRUITRIDGE RD","1ff50f7e-bb4b-4fd0-a4a0-7fd9bcfb5ea6","95824"
"30",-121.438109414398,38.5201587019644,6165,"160511-000461","Solid Waste : Replace Can : Garbage","Solid Waste","Replace Can","",NA,NA,"Garbage",6,"Web App","Fruitridge Manor","2016-05-11T18:04:26.000Z","2017-01-27T18:40:26.000Z","2017-01-27T18:38:13.000Z","Closed",13155,"",38.5201536228373,-121.43809625965,6722429.552246,1951747.663528,"55TH ST","f9cac598-1ab1-42e4-9b04-beec5b6e00c0","95824"
"31",-121.425389479098,38.6262556955458,6166,"160511-000469","Solid Waste : Household Junk","Solid Waste","","",NA,NA,"Household Junk",2,"Phone Call","Hagginwood","2016-05-11T18:11:02.000Z","2017-07-06T18:41:33.000Z","2017-07-06T18:39:44.000Z","Completed",13163,"",38.6262506065562,-121.425376313272,6725824.421786,1990408.047856,"ARCADE BLVD","f62b6fda-2c17-40ba-baaa-90f1b94e4e07","95815"
